,datum,RemediMax,VitaFlux,SynaptraZol,NeuroRevive,Immunoxen,RemediSol,Vitalisol,RestoraZen,Year,Month,Hour,Weekday Name
0,2017-01-01 8:00,0.0,0.67,0.4,2.0,0.0,0.0,0.0,1.0,2017,1,8,Sunday
1,2017-01-01 9:00,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2017,1,9,Sunday
2,2017-01-01 10:00,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,2017,1,10,Sunday
3,2017-01-01 11:00,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2017,1,11,Sunday
4,2017-01-01 12:00,0.0,2.0,0.0,5.0,2.0,0.0,0.0,0.0,2017,1,12,Sunday
5,2017-01-01 13:00,0.0,1.0,2.0,20.4,0.0,0.0,0.0,1.0,2017,1,13,Sunday
6,2017-01-01 14:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,1,14,Sunday
7,2017-01-01 15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,1,15,Sunday
8,2017-01-01 16:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,1,16,Sunday
9,2017-01-01 17:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,1,17,Sunday
10,2017-01-01 18:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,1,18,Sunday
11,2017-01-01 19:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,1,19,Sunday
12,2017-01-01 20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,1,20,Sunday
13,2017-01-01 21:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,1,21,Sunday
14,2017-01-01 22:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,1,22,Sunday
15,2017-01-01 23:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,1,23,Sunday
16,2017-01-02 0:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,1,0,Monday
17,2017-01-02 1:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,1,1,Monday
18,2017-01-02 2:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,1,2,Monday
19,2017-01-02 3:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,1,3,Monday
20,2017-01-02 4:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,1,4,Monday
21,2017-01-02 5:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,1,5,Monday
22,2017-01-02 6:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,1,6,Monday
23,2017-01-02 7:00,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2017,1,7,Monday
24,2017-01-02 8:00,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,2017,1,8,Monday
25,2017-01-02 9:00,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2017,1,9,Monday
